name cat d_as RV eRV
J153549.35-065727.8 III/283/ravedr6 0.124 -10.46 4.0
J153549.35-065727.8 LauraRV 0.0 -6.9 2
J154220.24+593653.0 LauraRV 0.0 -21.9 2.4
J154227.07-042717.1 I/345/gaia2 0.287 -10.92 7.18
J154227.07-042717.1 III/283/ravedr6 0.464 -3.06 4.87
J154435.17+042307.5 I/345/gaia2 0.24 -22.14 5.48
J154435.17+042307.5 LauraRV 0.0 -15.4 3.5
J154656.43+013650.8 III/283/ravedr6 1.056 -3.16 3.79
J155046.47+305406.9 I/345/gaia2 0.212 -19.58 3.63
J155046.47+305406.9 J/other/RAA/15.1182/dr1mcat 0.505 -14.298 11.94
J155515.35+081327.9 I/345/gaia2 0.076 -336.36 0.28
J155759.01-025905.8 I/345/gaia2 0.643 -26.23 1.12
J155759.01-025905.8 III/283/ravedr6 1.237 -28.67 1.42
J155947.24+440359.6 J/MNRAS/475/1960/tablea6 0.73 -18.38 21.3
J160549.19-311521.6 I/345/gaia2 0.288 -2.23 3.65
J160549.19-311521.6 LauraRV 0.0 -1.6 2.8
J160828.45-060734.6 III/283/ravedr6 0.152 -12.68 4.0
J160828.45-060734.6 LauraRV 0.0 -55.4 1.4
J160828.45-060734.6 March_14_Alex_RV  0.0  -28.636 0.448
J161410.76-025328.8 I/345/gaia2 0.273 -8.59 12.44
J161410.76-025328.8 III/283/ravedr6 0.276 -16.2 10.96
J161743.18+261815.2 I/345/gaia2 0.135 -17.72 2.66
J161743.18+261815.2 LauraRV 0.0 -12 0.9
J162548.69-135912.0 I/345/gaia2 0.345 124.56 0.59
J162602.80-155954.5 I/345/gaia2 0.266 -60.84 0.52
J163632.90+635344.9 I/345/gaia2 0.731 -55.4 1.33
J170415.15-175552.5 I/345/gaia2 0.278 -171.13 0.73
J171038.44-210813.0 I/345/gaia2 0.033 -14.25 1.98
J171038.44-210813.0 LauraRV 0.0 -5 2.3
J171117.68+124540.4 I/345/gaia2 0.181 -21.63 4.82
J171426.13-214845.0 I/345/gaia2 0.265 -2.25 3.99
J171441.70-220948.8 LauraRV 0.0 -7.8 0.8
J172309.67-095126.2 I/345/gaia2 0.622 24.46 10.82
J172454.26+502633.0 I/345/gaia2 1.703 -34.75 0.83
J172615.23-031131.9 J/A+A/649/A6/table1c 0.739 16.2 0.3
J173353.07+165511.7 J/A+A/612/A49/tableb1 1.74 -22.484 -999
J173353.07+165511.7 J/A+A/614/A76/tablea1 1.63 -23.57 3.23
J173353.07+165511.7 J/A+A/656/A162/table1 1.67 -21.87 0.29
J173353.07+165511.7 J/AJ/147/20/table6 1.63 -19 5
J173353.07+165511.7 LauraRV 0.0 -22.1 2.3
J173544.26-165209.9 LauraRV 0.0 -16.7 2.5
J173623.80+061853.0 I/345/gaia2 0.225 -226.48 0.34
J174439.27+483147.1 I/345/gaia2 0.119 -236.6 0.13
J174536.31-063215.3 I/345/gaia2 0.706 0.29 6.52
J175839.30+155208.6 LauraRV 0.0 -11.8 0.9
J175942.12+784942.1 LauraRV 0.0 0.4 1.5
J180554.92-570431.3 J/A+A/649/A6/table1c 0.632 -0.61 0.36
J180658.07+161037.9 I/345/gaia2 0.208 -11.43 4.33
J180658.07+161037.9 LauraRV 0.0 -18.5 6.4
J180733.00+613153.6 I/345/gaia2 0.165 -18.49 4.99
J180929.71-543054.2 J/A+A/649/A6/table1c 0.823 -1.97 0.85
J181725.08+482202.8 I/345/gaia2 0.371 -24.31 0.56
J181725.08+482202.8 J/A+A/656/A162/table1 0.71 -24.24 0.02
J181725.08+482202.8 J/MNRAS/475/1960/tablea6 0.66 -23.91 1.7
J181725.08+482202.8 LauraRV 0.0 -25.5 1.8
J182054.20+022101.5 I/345/gaia2 0.158 1.03 6.66
J184204.85-555413.3 J/A+A/649/A6/table1c 0.718 0.43 0.85
J184206.97-555426.2 J/A+A/649/A6/table1c 0.668 1.17 0.17
J184206.97-555426.2 J/AJ/154/69/table4 0.61 0.3 0.5
J184206.97-555426.2 J/ApJ/840/87/targets 0.6 9.76 4.9
J184206.97-555426.2 LauraRV 0.0 1.2 0.9
J184536.02-205910.8 I/345/gaia2 1.025 -30.09 0.14
J190453.69-140406.0 I/345/gaia2 0.471 -26.95 0.72
J190453.69-140406.0 LauraRV 0.0 -26 2.4
J191019.82-160534.8 I/345/gaia2 0.282 -34.34 1.23
J191036.02-650825.5 III/283/ravedr6 0.583 -16.57 2.96
J191235.95+630904.7 I/345/gaia2 0.388 -44.75 3.87
J191534.83-083019.9 I/345/gaia2 0.184 -27.78 3.28
J191534.83-083019.9 LauraRV 0.0 -27 2.9
J192250.70-631058.6 III/283/ravedr6 0.398 -2.27 4.28
J192250.70-631058.6 J/AJ/154/129/catalog 0.5 6.4 1.5
J192250.70-631058.6 J/AJ/157/234/table2 0.48 0.84 1.0
J192250.70-631058.6 J/ApJ/840/87/targets 0.54 5.67 2.08
J192250.70-631058.6 LauraRV 0.0 4.4 1.7
J192323.20+700738.3 LauraRV 0.0 20.2 10
J192434.97-344240.0 J/A+A/649/A6/table1c 0.629 -4.49 0.32
J192434.97-344240.0 J/AJ/154/69/table4 0.65 -3.7 0.2
J192434.97-344240.0 J/ApJ/840/87/targets 0.71 -7.69 5.75
J192434.97-344240.0 LauraRV 0.0 -5.3 1.3
J192600.77-533127.6 J/A+A/649/A6/table1c 0.727 -1.33 2.51
J192600.77-533127.6 J/ApJ/840/87/targets 0.6 -7.59 6.03
J192600.77-533127.6 LauraRV 0.0 36.1 1.8
J192659.33-710923.8 I/345/gaia2 0.619 -13.18 4.79
J192659.33-710923.8 III/283/ravedr6 0.482 -16.76 4.05
J193052.51-545325.4 I/345/gaia2 0.566 -29.87 5.9
J193052.51-545325.4 III/283/ravedr6 0.607 -25.68 4.14
J193052.51-545325.4 LauraRV 0.0 -23 2.8
J193411.46-300925.3 LauraRV 0.0 -5.4 8.5
J193711.26-040126.7 I/345/gaia2 0.415 -8.2 7.64
J194309.89-601657.8 Sept_14_Alex_RV  0.0  1.394 0.967
J194539.01+704445.9 I/345/gaia2 0.25 -33.3 7.35
J194714.54+640237.9 I/345/gaia2 0.502 -77.12 3.3
J194816.54-272032.3 I/345/gaia2 0.497 -5.82 1.03
J194834.58-760546.9 I/345/gaia2 0.638 19.93 0.71
J194834.58-760546.9 III/283/ravedr6 0.624 18.01 7.07
J195227.23-773529.4 III/283/ravedr6 1.054 -190.72 35.09
J195227.23-773529.4 LauraRV 0.0 -5.4 2.2
J195315.67+745948.9 I/345/gaia2 0.594 -18.1 0.44
J195602.95-320719.3 III/283/ravedr6 0.639 -8.16 2.91
J195602.95-320719.3 J/AJ/154/69/table4 0.54 -3.7 2.2
J200137.19-331314.5 I/345/gaia2 0.531 -4.42 0.57
J200137.19-331314.5 III/283/ravedr6 0.499 -6.2 3.39
J200137.19-331314.5 J/AJ/154/69/table4 0.52 -3.7 0.2
J200137.19-331314.5 LauraRV 0.0 -4.1 1.5
J200311.61-243959.2 I/345/gaia2 0.535 -13.37 1.26
J200311.61-243959.2 III/283/ravedr6 0.479 -10.18 1.82
J200311.61-243959.2 LauraRV 0.0 -8 1.4
J200409.19-672511.7 III/283/ravedr6 0.581 21.2 6.67
J200409.19-672511.7 J/ApJ/840/87/targets 0.69 10.35 3.54
J200556.44-321659.7 I/345/gaia2 0.653 -8.09 1.69
J200556.44-321659.7 J/AJ/154/69/table4 0.59 -5.1 1.3
J200837.87-254526.2 J/A+A/649/A6/table1c 0.553 -5.74 1.57
J200853.72-351949.3 III/283/ravedr6 0.929 -5.36 2.88
J200853.72-351949.3 J/AJ/154/69/table4 0.81 -3.7 0.2
J200853.72-351949.3 J/ApJ/840/87/targets 0.81 -5.87 6.28
J201000.06-280141.6 J/A+A/649/A6/table1c 0.914 -8.56 0.44
J201000.06-280141.6 J/AJ/154/69/table4 0.63 -5.8 0.6
J201000.06-280141.6 J/ApJ/840/87/targets 0.62 0.96 4.22
J201000.06-280141.6 LauraRV 0.0 -5.7 3.2
J201931.84-081754.3 I/345/gaia2 0.422 -55.04 8.94
J202505.36+835954.2 LauraRV 0.0 -4.1 2.1
J202716.80-254022.8 I/345/gaia2 0.427 -8.51 5.33
J203023.10+711419.8 I/345/gaia2 0.552 -21.29 5.33
J203023.10+711419.8 LauraRV 0.0 -15.1 0.7
J203337.63-255652.8 J/A+A/649/A6/table1c 0.65 -8.48 0.52
J203337.63-255652.8 J/AJ/154/69/table4 0.82 -7.6 0.4
J203337.63-255652.8 J/MNRAS/475/1960/tablea6 0.82 -8.32 51.9
J203337.63-255652.8 LauraRV 0.0 -5.7 0.7
J205136.27+240542.9 LauraRV 0.0 4.1 0.5
J210131.13-224640.9 I/345/gaia2 0.804 -30.98 0.37
J210338.46+075330.3 I/345/gaia2 0.607 -21.09 3.49
J210338.46+075330.3 LauraRV 0.0 -18 1
J210708.43-113506.0 I/345/gaia2 0.267 -7.01 0.97
J210708.43-113506.0 III/283/ravedr6 0.91 -10.43 2.07
J210708.43-113506.0 J/MNRAS/494/2429/table1 1.05 -9.515 -999
J210708.43-113506.0 LauraRV 0.0 -8.1 1.6
J210722.53-705613.4 III/283/ravedr6 0.804 -3.69 5.91
J210722.53-705613.4 J/ApJ/840/87/targets 0.75 3.29 4.61
J210722.53-705613.4 LauraRV 0.0 -2.7 2.6
J210736.82-130458.9 I/345/gaia2 0.827 2.79 4.78
J210736.82-130458.9 III/283/ravedr6 0.992 -4.41 3.06
J210736.82-130458.9 J/MNRAS/475/1960/tablea6 0.82 -2.07 25.6
J210736.82-130458.9 LauraRV 0.0 0.7 8.1
J210957.48+032121.1 I/345/gaia2 0.931 -19.57 0.4
J210957.48+032121.1 LauraRV 0.0 -20 0.9
J211004.67-192031.2 I/345/gaia2 0.923 -14.15 4.41
J211004.67-192031.2 III/283/ravedr6 1.236 0.57 3.05
J211004.67-192031.2 LauraRV 0.0 -6 3.3
J211005.41-191958.4 I/345/gaia2 0.906 -6.5 0.66
J211005.41-191958.4 III/283/ravedr6 1.309 2.77 5.32
J211005.41-191958.4 J/AJ/154/129/catalog 1.3 -5.7 0.4
J211005.41-191958.4 J/AJ/154/69/table4 1.08 -5.7 0.4
J211005.41-191958.4 J/MNRAS/475/1960/tablea6 1.08 -6.14 14.4
J211005.41-191958.4 LauraRV 0.0 -6.1 1.1
J211031.49-271058.1 J/A+A/649/A6/table1c 1.488 -4.21 0.33
J211031.49-271058.1 J/AJ/154/69/table4 0.15 -4.3 0.2
J211031.49-271058.1 LauraRV 0.0 -6.3 2.3
J211635.34-600513.4 J/AJ/147/146/stars 1.08 0.3 0.9
J211635.34-600513.4 LauraRV 0.0 2.4 2.3
J212007.84-164548.2 J/AJ/154/69/table4 0.64 -5.1 0.6
J212007.84-164548.2 LauraRV 0.0 -7.1 3.2
J212128.89-665507.1 I/345/gaia2 0.954 5.19 0.93
J212128.89-665507.1 J/AJ/154/69/table4 1.18 3.3 0.8
J212128.89-665507.1 J/AJ/157/234/table2 1.22 13.0 0.38
J212750.60-684103.9 J/AJ/147/146/stars 0.67 7.0 3.4
J212750.60-684103.9 Sept_14_Alex_RV  0.0  17.277 0.591
J213507.39+260719.4 I/345/gaia2 0.364 -36.27 0.3
J213644.54+670007.1 I/345/gaia2 0.313 -190.07 0.92
J213708.89-603606.4 J/AJ/147/146/stars 1.02 0.2 0.4
J213708.89-603606.4 LauraRV 0.0 1.9 0.5
J213740.24+013713.2 J/A+A/614/A76/tablea1 0.91 -2.74 2.01
J213740.24+013713.2 J/AJ/154/69/table4 0.97 -15.1 5.0
J213740.24+013713.2 J/MNRAS/475/1960/tablea6 0.83 -10.82 24.4
J213740.24+013713.2 J/other/RAA/15.1182/dr1mcat 0.97 -18.108 14.0
J213740.24+013713.2 LauraRV 0.0 -5.5 9.7
J213847.58+050451.4 J/AJ/154/69/table4 0.62 -16.1 1.1
J214414.73+321822.3 I/345/gaia2 1.243 -28.62 1.02
J214905.04-641304.8 J/A+A/649/A6/table1c 0.809 3.9 3.2
J214905.04-641304.8 J/AJ/147/146/stars 0.94 0.4 5.1
J215053.68-055318.9 I/345/gaia2 0.372 -3.07 5.49
J215053.68-055318.9 LauraRV 0.0 -20.9 1.1
J215128.95-023814.9 III/283/ravedr6 0.332 -7.55 3.29
J220216.29-421034.0 I/345/gaia2 0.87 -2.68 0.59
J220216.29-421034.0 III/283/ravedr6 1.04 -6.92 6.58
J220216.29-421034.0 J/AJ/147/146/stars 1.13 -2.8 0.3
J220216.29-421034.0 LauraRV 0.0 -2.8 1
J220254.57-644045.0 I/345/gaia2 0.799 0.4 2.99
J220254.57-644045.0 J/AJ/147/146/stars 0.92 2.2 5.3
J220254.57-644045.0 LauraRV 0.0 -0.2 4.1
J220730.16-691952.6 LauraRV 0.0 -11.7 0.8
J220850.39+114412.7 J/A+A/614/A76/tablea1 0.78 -8.8 1.84
J220850.39+114412.7 J/AJ/154/69/table4 0.95 -9.3 1.4
J220850.39+114412.7 LauraRV 0.0 -9.4 3.5
J221559.00-014733.0 I/345/gaia2 0.515 -49.78 1.96
J221559.00-014733.0 J/other/RAA/15.1182/dr1mcat 0.834 -55.755001 20.8
J221833.85-170253.2 I/345/gaia2 0.508 13.92 0.33
J221842.70+332113.5 I/345/gaia2 0.304 -16.14 4.19
J222024.21-072734.5 I/345/gaia2 0.513 -13.05 3.29
J222024.21-072734.5 III/283/ravedr6 0.546 -0.46 69.23
J224448.45-665003.9 J/AJ/147/146/stars 0.9 0.7 1.7
J224500.20-331527.2 III/283/ravedr6 2.345 1.95 5.05
J224500.20-331527.2 J/AJ/154/69/table4 2.03 2.0 -999
J224634.82-735351.0 I/345/gaia2 0.666 5.05 2.18
J224634.82-735351.0 III/283/ravedr6 0.713 6.48 4.94
J224634.82-735351.0 J/AJ/147/146/stars 0.74 9.1 0.6
J224634.82-735351.0 LauraRV 0.0 7.5 1.7
J225914.87+373639.3 LauraRV 0.0 -17 1.8
J225934.89-070447.1 III/283/ravedr6 0.679 -8.75 4.16
J230209.10-121522.0 III/283/ravedr6 0.776 -12.81 2.58
J230209.10-121522.0 LauraRV 0.0 -11.4 1.2
J230327.73-211146.2 III/283/ravedr6 0.411 -9.29 5.28
J230740.98+080359.7 I/345/gaia2 0.496 3.29 0.62
J231021.75+685943.6 I/345/gaia2 0.707 3.22 1.03
J231211.37+150329.7 I/345/gaia2 0.421 -14.21 2.08
J231246.53-504924.8 J/AJ/147/146/stars 1.16 4.1 11.9
J231246.53-504924.8 LauraRV 0.0 -22.6 -999
J231457.86-633434.0 III/283/ravedr6 1.144 -56.27 13.98
J231457.86-633434.0 LauraRV 0.0 -110.6 4.6
J231543.66-140039.6 I/345/gaia2 0.537 -53.64 0.42
J231543.66-140039.6 III/283/ravedr6 0.606 -54.03 0.81
J231543.66-140039.6 LauraRV 0.0 -52 2.6
J231933.16-393924.3 I/345/gaia2 0.885 1.4 0.34
J231933.16-393924.3 LauraRV 0.0 1 0.8
J232151.23+005037.3 III/283/ravedr6 1.094 -32.3 1.02
J232656.43+485720.9 I/345/gaia2 0.369 16.48 1.09
J232656.43+485720.9 LauraRV 0.0 17.9 1
J232857.75-680234.5 I/345/gaia2 0.787 -0.83 2.27
J232857.75-680234.5 J/AJ/147/146/stars 0.96 8.0 1.5
J232857.75-680234.5 J/AJ/154/129/catalog 1.0 10.8 3.4
J232857.75-680234.5 J/ApJ/840/87/targets 0.76 3.47 5.1
J232857.75-680234.5 LauraRV 0.0 8.5 2.4
J232917.64-675000.6 J/AJ/147/146/stars 1.04 6.1 0.5
J233647.87+001740.1 I/345/gaia2 0.604 -15.51 0.69
J234243.45-622457.1 J/AJ/147/146/stars 1.08 5.1 4.6
J234326.88-344658.5 III/283/ravedr6 1.017 8.47 3.12
J234326.88-344658.5 J/A+A/649/A6/table1c 0.91 8.529 3.114
J234333.91-192802.8 LauraRV 0.0 -13.4 4.1
J234347.83-125252.1 I/345/gaia2 0.474 3.61 2.41
J234857.35+100929.3 I/345/gaia2 0.433 -5.98 0.88
J234924.87+185926.7 LauraRV 0.0 6.1 1.2
J234926.23+185912.4 I/345/gaia2 0.449 6.28 0.38
